asd;234;asdf@asf.com;1;1;1;1;1;1;1;1;1;1;
Tiago;5599995505;tiago.rios@ibiruba.ifrs.edu.br;1;2;3;4;4;4;5;3;3;3;
;;;1;1;1;1;1;1;1;1;1;1;
;234;234324;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
asdf;asdf;asdf;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
Tiago;234234;fasfsf@assf.cocm;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
;;;1;1;1;1;1;1;1;1;1;1;
Tiago;24324;asfdsadf@asdf.com;3;2;3;3;3;4;4;1;1;3;
fasdf;243242;;1;3;3;3;2;3;3;3;2;3;
